Variable 1,Variable 2,Valeur de Corrélation,P-value,Méthode de Corrélation,Significativité
key_cos,loudness_winsorized,-0.0007121728440186029,0.9043238041981363,kendall,
key_cos,speechiness_log,0.012853543518299244,0.12560664206502498,spearman,
key_cos,instrumentalness_log,0.004556955268377025,0.5871311594757882,spearman,
key_cos,liveness_log,0.009308959508779137,0.2673197641410565,spearman,
key_cos,duration_log,-0.009435620071272374,0.26086477096779126,spearman,
loudness_winsorized,speechiness_log,0.16466718065789698,7.077660284542034e-87,spearman,***
loudness_winsorized,instrumentalness_log,-0.2363301145822563,1.7743958925582e-179,spearman,***
loudness_winsorized,liveness_log,0.06994719249665567,7.124310026031698e-17,spearman,***
loudness_winsorized,duration_log,0.024065880509673666,0.00413017425951696,spearman,**
speechiness_log,instrumentalness_log,-0.283325985912942,2.3319788739926645e-260,spearman,***
speechiness_log,liveness_log,-0.012409577647386778,0.13920696386179343,spearman,
speechiness_log,duration_log,-0.11622362045936477,6.69585971022432e-44,spearman,***
instrumentalness_log,liveness_log,-0.06476627720926426,1.1141822579128154e-14,spearman,***
instrumentalness_log,duration_log,0.12327807997071076,3.2752284868950297e-49,spearman,***
liveness_log,duration_log,-0.017985994403322308,0.03208590772294585,spearman,*
