Nombre d'Outliers,Coefficient de Variation,Variance,Moyenne,Médiane,Type de Distribution,Asymétrie,Minimum,Maximum
24,1.1240259585420598e+16,1.0000680549884307,8.896894411695027e-17,0.06861491463570626,Normale,-0.31677815719241725,-3.156985311127425,2.3429150738163513
0,-2004077290423827.5,1.0000680549884309,-4.989997300472429e-16,0.09633067790637666,Normale,-0.3280424761878179,-2.740485048811535,1.912587496256664
0,-3.3905045306842456e+16,1.0000680549884307,-2.949513908224982e-17,-0.0783417079202964,Normale,-0.005837739961269992,-1.4853710380214395,1.6100934882010753
278,1.3974376781874252e+16,1.0000680549884304,7.156197678972088e-17,0.1921358607212731,Non Normale,-1.023516358659717,-7.380883258209159,2.424588764904069
0,4.496103834168239e+16,1.0000680549884309,2.2242236029237568e-17,0.8905989922398552,Normale,-0.23226452332819883,-1.1228398063700944,0.8905989922398552
1882,-3.3358189737377252e+16,1.0000680549884304,-2.9978665952450636e-17,-0.449977673322079,Non Normale,2.222410996515758,-0.7025752898679737,5.613371488785552
0,-7231495677333531.0,1.0000680549884309,-1.3828868487743359e-16,-0.18935276138050466,Normale,0.35724463159547803,-1.2670242145345816,1.9466307775057197
3000,2.9974025561121596e+16,1.0000680549884307,3.336335404385635e-17,-0.2372928227779779,Non Normale,5.574649489176903,-0.23734794291909656,8.511880806072648
852,-8.617532348822459e+16,1.0000680549884307,-1.1604644884819601e-17,-0.4111182183840164,Non Normale,2.177299518534109,-1.256243792424974,4.7521017273943755
0,-1.034103881858695e+16,1.0000680549884307,-9.670537404016335e-17,-0.006180633359120868,Normale,0.021981131232758664,-2.0400608329611543,1.9379089863495862
89,-7834120317111324.0,1.0000680549884304,-1.2765109373301562e-16,-0.03216910669173682,Normale,0.46985992553245254,-2.8101558916296825,3.482233956145514
137,-1.1119396579125752e+16,1.0000680549884307,-8.993599785735191e-17,-0.05557890131863579,Normale,0.22940746053493577,-2.853137933584001,3.0079656182217422
459,-1503057967817870.5,1.0000680549884307,-6.653329733963238e-16,0.11454804094228196,Non Normale,-2.4564966907072185,-7.496314999423957,1.2262471367261147
0,-2.298008626352655e+16,1.0000680549884307,-4.351741831807351e-17,-0.8063476414113565,Normale,0.43385653316182815,-0.8063476414113565,1.240159887179297
0,3.181858098026753e+16,1.0000680549884304,3.142924656305309e-17,0.04574368774159829,Normale,0.03269475821807389,-1.4204302222447616,1.5119175977279584
0,2.721326004891302e+16,1.0000680549884304,3.674804213526207e-17,-0.04945520173008562,Normale,-0.05550844472396266,-1.419786872826626,1.3208764693664552
0,-2764983641333408.5,1.0000680549884304,-3.6167809891021093e-16,0.1870207216618731,Non Normale,-0.6668734632747904,-2.5759677279405784,2.53056146598207
72,-2742981118988580.5,1.0000680549884309,-3.6457926013141583e-16,-0.3611291155958433,Non Normale,0.9782024839066599,-1.3117355386902856,2.947611021979607
0,-2679025600670194.0,1.0000680549884309,-3.732827437950305e-16,-0.4515519617054999,Non Normale,1.0150311106853842,-0.8260428606469739,2.627107042404692
217,4039468288510527.5,1.0000680549884307,2.4756575754281816e-16,-0.275784132795398,Non Normale,0.5845138504816559,-4.424982294433523,2.850025208146267
260,565393046396224.8,1.0000680549884307,1.7687412911945876e-15,0.06154000236135343,Non Normale,-0.5452174130098982,-4.31071048493892,2.302636667312429
