n_clusters,BIC,Silhouette Score,Davies-Bouldin Index
2,457176.3770066562,0.09497947431365661,2.908114818424073
3,389054.6108744291,0.05142275395529646,3.3778900919421084
4,386597.657839216,0.022633775528819032,3.6630882140116534
5,382831.19877604983,0.043707685730245395,3.4450916863105356
6,382933.27629688586,-0.008725291652321337,4.016766531089872
7,382435.9475563483,-0.0025750801641681296,3.6395598925530703
8,380264.36020199285,-0.012887346676603649,3.6508652482170816
9,378451.3824570266,-0.006337707052036978,3.314600879500884
10,361508.61613110645,-0.04317053704233909,3.5078400798068676
11,253959.73726817465,-0.02605393392638045,3.956104796310551
12,194083.49349559387,-0.04131938619807158,4.4346713283723
13,271002.6053311027,-0.021539523083547264,4.208441991574917
14,372798.5984660424,-0.04931232446111248,2.8729189611409365
15,298087.85369283386,-0.042478888018755864,3.7762695854946546
16,231199.32853687846,-0.022490851309068673,4.522750918023125
17,247247.80007229737,-0.05180716338807165,3.9345360964596496
18,223823.4353918298,-0.03741695487666476,4.378002590777585
19,155959.29228482803,-0.035807476136542345,4.465685425946937
20,181671.25802242174,-0.035574773303581525,4.742779733262541
21,267626.76473278925,-0.023787245436046604,3.132687318528065
22,154952.40050445264,-0.057405597712720795,5.132366073672087
23,166393.84719220645,-0.09003488604687022,4.300832422230549
24,131311.29499372715,-0.05073232686258492,4.511325384034826
25,123839.8339166358,-0.08572580463319594,4.567707324517109
26,133137.1112012277,-0.06397963938954915,4.342843660943964
27,153073.69430702704,-0.06725723371644009,4.163889415010455
28,144484.29584457507,-0.04638826013349085,4.151486954110644
29,139193.84906868474,-0.06279001584910691,4.432553039149536
30,212040.04106144945,-0.06620743688381776,3.666272639536622
31,112157.62280287588,-0.04567663927690223,4.172249222023491
32,122121.99195563946,-0.05867065706560222,3.938651171122469
33,167596.8613569623,-0.08040064647020057,4.977527984695173
34,156511.30816459892,-0.061714667113549386,3.536888800991713
35,106923.09614407984,-0.0784499464149732,4.076239056952033
36,135038.60431882762,-0.07802141029455864,3.909342623677049
37,147344.65073052887,-0.0925848053148322,3.6598719358203153
38,121647.74280148331,-0.08517721704776325,3.875587020932395
39,68910.49999769512,-0.054785353631473334,4.473711945197818
40,125861.89838610824,-0.08801279686748313,3.54794861898674
41,114853.9517639403,-0.10053461585628518,3.8218700476946115
42,100619.01060353729,-0.07783891365216447,4.22283909583482
43,174693.97032672932,-0.08508331845920007,3.407988762869563
44,102050.15366932648,-0.10562537980911219,3.880459146170256
45,113937.11786766553,-0.08644695051329751,3.6627555745011433
46,101007.72231912898,-0.0747075164757146,4.040926185441422
47,97808.27012035425,-0.07571845363450223,3.969106407585365
48,111938.50334498906,-0.08470395150843464,3.598660907832221
49,80731.25907084673,-0.11583613272136833,3.979842052911505
50,42797.533455604455,-0.0920764539895359,4.190914254647602
51,95657.08522393991,-0.0968310472532677,3.804328772009077
52,91080.02161926779,-0.10730194800399495,3.806432335979257
53,100788.92286775299,-0.10665440379203876,3.537327934230048
54,92017.54410302319,-0.09118697850126657,3.799263404181914
55,98754.89632608126,-0.10290577051571204,3.7407786115030897
56,90586.91407118164,-0.09766724740818634,3.832175023131522
57,143153.16822249582,-0.09682516147914502,3.626093558909237
58,126952.4444257817,-0.09308312316923537,3.401972344946174
59,72428.45887348418,-0.10628910912487743,3.91744970421391
60,79664.35452527093,-0.11939207132644532,3.4604057647872097
61,107600.89893663459,-0.1208976282495063,3.3678521145928197
62,117878.56775631351,-0.12101000580322246,3.519773712786149
63,78870.50246162356,-0.11467070469220572,3.4227998396314616
64,101692.69792168838,-0.12139872708666564,3.479163462756934
65,99705.75334083615,-0.11807855795950804,3.4200129191265067
66,91918.48670230375,-0.1397592175281135,3.795886552510283
67,76276.06602296692,-0.12658934513932898,3.397268835216562
68,91224.52390960032,-0.111141610370054,3.602284994160718
