eps,min_samples,n_clusters,silhouette_score,davies_bouldin_index,n_outliers,percentage_outliers
1.6,51,0,-1.0,-1.0,14201,1.0
1.6,61,0,-1.0,-1.0,14201,1.0
1.6,71,0,-1.0,-1.0,14201,1.0
1.6,81,0,-1.0,-1.0,14201,1.0
1.6,91,0,-1.0,-1.0,14201,1.0
1.7,1,2662,-0.40448054852270815,0.8597411778595889,0,0.0
1.7,11,4,-0.08504159299470658,3.6568560478767607,5764,0.4058869093725794
1.7,21,3,-0.07412827659916404,3.702265520851089,8561,0.6028448700795719
1.7,31,4,-0.15981233922006832,3.1445387933843927,10774,0.758678966269981
1.7,41,3,-0.1476185048436438,3.3277343744117314,12735,0.8967678332511795
1.7,51,2,-0.16878980231003438,3.051313382593112,13698,0.9645799591578058
1.7,61,2,-0.1779402768136277,2.5732895286679827,14022,0.9873952538553623
1.7,71,1,-0.14090752943380924,2.5003692759683562,14125,0.994648264206746
1.7,81,0,-1.0,-1.0,14201,1.0
1.7,91,0,-1.0,-1.0,14201,1.0
1.8,1,1744,-0.4243194825627868,0.8386325993113373,0,0.0
1.8,11,1,0.07397507086063308,6.632411245699865,3848,0.27096683332159704
1.8,21,1,0.04989936030859497,6.313728597559172,5871,0.4134215900288712
1.8,31,2,-0.02354319536070189,4.2936023104598755,7626,0.5370044363073023
1.8,41,1,0.0017532646694423566,5.542003136083893,9387,0.6610097880430955
1.8,51,1,-0.02683093334977343,4.983636746645173,11065,0.7791704809520457
1.8,61,4,-0.20110036425645672,3.0309475427308796,12319,0.8674741215407366
1.8,71,2,-0.16474911551179802,3.5066169342248634,13177,0.9278924019435251
1.8,81,2,-0.15121461035517422,3.113122577474034,13457,0.9476093232870925
1.8,91,2,-0.18718102599273956,2.9831119952614578,13831,0.9739454967960003
1.9,1,1094,-0.42212512082532644,0.8215419337920674,0,0.0
1.9,11,2,0.03896915942268169,4.466264354768211,2438,0.17167805084149004
1.9,21,1,0.08083984563313233,6.113166527870216,3747,0.2638546581226674
1.9,31,1,0.06662732851752,5.89396031413552,4991,0.35145412294908807
1.9,41,1,0.05099761720710945,5.689626778529368,6237,0.43919442292796285
1.9,51,1,0.03586110434928141,5.395714427929577,7460,0.5253151186536159
1.9,61,1,0.01688134774716416,5.242393968733111,8684,0.6115062319554961
1.9,71,2,-0.06216894460249623,3.9628252026924256,9953,0.7008661361875924
1.9,81,2,-0.10958717127301534,3.9087602365306933,11053,0.7783254700373213
1.9,91,3,-0.16580361922529332,3.014318746013593,12128,0.8540243644813745
2.0,1,676,-0.39988902437230245,0.8041369042355089,0,0.0
2.0,11,1,0.11939926418714325,5.372599656372161,1449,0.10203506795296106
2.0,21,1,0.10659991727787856,5.6110252260252,2321,0.16343919442292795
2.0,31,1,0.09403115844256787,5.822903419485298,3121,0.21977325540454898
2.0,41,1,0.08434444890924467,5.7260314237797525,3932,0.27688190972466725
2.0,51,1,0.073955105722277,5.687405489626225,4712,0.3318076191817478
2.0,61,1,0.06432104464829858,5.428308663748943,5611,0.3951130202098444
2.0,71,1,0.05466633012344986,5.331799411484769,6349,0.44708119146538977
2.0,81,1,0.041353996635981535,5.211055717212789,7287,0.5131328779663404
2.0,91,1,0.027719345773140888,5.041054218759702,8221,0.5789028941623829
2.1,1,415,-0.36472872165485704,0.7746733413272109,0,0.0
2.1,11,1,0.14115043550883843,4.910144011625487,871,0.061333708893739874
2.1,21,1,0.12851394249772294,5.221882466110141,1337,0.09414829941553411
2.1,31,1,0.11881844265912984,5.3269478067108755,1891,0.13315963664530667
2.1,41,1,0.11030053806780021,5.420866324279661,2421,0.1704809520456306
2.1,51,1,0.10361863570546143,5.47171528327039,2887,0.20329554256742483
2.1,61,1,0.09807151611173665,5.385782581751584,3389,0.23864516583339201
