id,speechiness_log,instrumentalness_log,loudness_winsorized,mode,duration_log
5unjgc6VkA0TqDfxZiOBYy,-1.0071530663124364,1.120463856351276,-0.1425396955081547,0.8905989922398552,0.2154239388748249
0uYQzkuCFewRsriDK7oDIz,1.2289150558267694,-0.8260428606469739,-0.3660346910602425,0.8905989922398552,0.8925474049759989
6tdVKcaTZcwqgkgp7jjXtn,0.0060197827298287,0.509488917657641,-0.6570832587142321,0.8905989922398552,1.6930027583927014
0YdkJGudAjIDu5tlMfhBnE,-0.8103045590521896,-0.8260428606469739,2.013808206492285,-1.1228398063700944,-0.147914914438908
57bJOau4bkqPaxuu1WboLk,0.0218532446705551,0.8959872692261494,-0.6214124472772465,-1.1228398063700944,0.3072598145733209
2caW9Zl9RpFeDymyQi0FxO,-0.8527857642173879,0.3290535263285236,-0.9203527873730478,0.8905989922398552,-0.3828183620359063
4WJhFcIQrQnVR1Wkb5RYD9,-1.2350668371251503,-0.8260428606469739,-0.7195860964533755,0.8905989922398552,-0.0429692025180469
2Xn9rhZS5DHQP2wjUmEeHr,-0.0530977307695105,0.1486035519698343,-2.0567680189938327,-1.1228398063700944,0.4929788880471569
7oovNUGb7D35U7IkwMJDvi,1.4119116942417138,-0.8260428606469739,0.9796703457173708,-1.1228398063700944,0.2840533329422606
41UYUNx8nNjIkGCzOg57Kg,0.4414700453699359,-0.8260428606469739,0.144720821373766,0.8905989922398552,0.2065239774089936
274jjay5FIRP9LjhyQTMEU,1.8915056133025856,-0.3576295630589578,-1.6675458021637135,0.8905989922398552,-2.68362963109294
7rcm1I5kZ5L4nTUWJsoyDF,2.2519682714829408,-0.8260428606469739,0.5746645840036297,-1.1228398063700944,-0.0969005593080537
5NiFHJBcxFTi3gXvYdI99z,2.521296495385844,-0.8260428606469739,-0.9588646368890856,0.8905989922398552,-0.7726475174178138
1p6uToa3fmKBf8O1XiQ7KG,2.055326919653244,-0.8260428606469739,0.8994899377085708,0.8905989922398552,0.2508919065370155
0eA6A6COGwb1yyhTRCrgq2,1.5484327688370805,1.150902133639756,0.9866151054661644,0.8905989922398552,-0.7502483865201711
5awqGLNiSTNRtMtWve1bSA,-0.8725774273228606,1.3887557345808434,0.940527154405988,-1.1228398063700944,0.4407260014618622
3Uu1XMkoGYek06nWyHWMvl,-0.0783921732605524,0.6749072602287051,-0.2287178505727308,0.8905989922398552,0.9349422649411804
